,No,標準的な表記,読み,語彙の難易度,品詞1,品詞2(詳細),語種
3379,3668,官庁,カンチョウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3380,3670,干潮,カンチョウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3381,3671,貫通,カンツウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3382,3672,缶詰め,カンヅメ,4.中級後半,名詞,名詞-普通名詞-一般,混種語
3383,3673,鑑定,カンテイ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3384,3674,貫徹,カンテツ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
3385,3676,観点,カンテン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3386,3675,寒天,カンテン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3387,3677,感電,カンデン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3389,3679,感度,カンド,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3391,3681,完投,カントウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3392,3682,感動,カンドウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3393,3683,関東地方,カントウチホウ,4.中級後半,名詞,名詞-固有名詞-地名-一般 and 名詞-普通名詞-一般,漢語
3394,3684,感動的,カンドウテキ,4.中級後半,名詞,名詞-普通名詞-サ変可能 and 接尾辞-形状詞的,漢語
3395,3685,監督,カントク,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3396,3686,カントリー,カントリー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3397,3688,館内,カンナイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3399,3690,神主,カンヌシ,6.上級後半,名詞,名詞-普通名詞-一般,和語
3400,3691,観念,カンネン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3401,3692,元年,ガンネン,5.上級前半,名詞,名詞-普通名詞-副詞可能,漢語
3402,3693,官能,カンノウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3403,3694,カンパ,カンパ,6.上級後半,名詞,名詞-普通名詞-サ変可能,外来語
3404,3695,寒波,カンパ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3405,3697,完売,カンバイ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3407,3699,カンパニー,カンパニー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3410,3702,甲板,カンパン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3411,3703,完備,カンビ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3412,3704,看病,カンビョウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3413,3706,幹部,カンブ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3414,3707,カンフー,カンフー,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3415,3708,完封,カンプウ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
3416,3709,漢文,カンブン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3417,3710,完璧,カンペキ,4.中級後半,名詞,名詞-普通名詞-形状詞可能,漢語
3418,3711,鑑別,カンベツ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
3419,3712,勘弁,カンベン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3420,3713,漢方,カンポウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3421,3714,願望,ガンボウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3422,3715,官房長官,カンボウチョウカン,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3423,3717,陥没,カンボツ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3424,3718,巻末,カンマツ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3425,3719,甘味,カンミ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3426,3720,官民,カンミン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3427,3721,冠,カンムリ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3428,3722,感銘,カンメイ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3429,3723,勧誘,カンユウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3430,3724,関与,カンヨ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3431,3725,慣用,カンヨウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3432,3726,寛容,カンヨウ,5.上級前半,名詞,名詞-普通名詞-形状詞可能,漢語
3433,3727,慣用句,カンヨウク,4.中級後半,名詞,名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般,漢語
3434,3728,観葉植物,カンヨウショクブツ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3436,3730,観覧,カンラン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3437,3731,管理,カンリ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3438,3732,管理職,カンリショク,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般,漢語
3440,3734,簡略,カンリャク,5.上級前半,名詞,形状詞-一般,漢語
3441,3735,完了,カンリョウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3442,3736,官僚,カンリョウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3443,3737,寒冷,カンレイ,5.上級前半,名詞,名詞-普通名詞-形状詞可能,漢語
3444,3738,慣例,カンレイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3445,3739,還暦,カンレキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3446,3740,関連,カンレン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3447,3741,緩和,カンワ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3448,3742,漢和,カンワ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3449,3743,漢和辞典,カンワジテン,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3456,3744,気,キ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3461,3756,記,キ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3462,3757,旗,キ,5.上級前半,名詞,接尾辞-名詞的-一般,漢語
3465,3762,技,ギ,4.中級後半,名詞,接尾辞-名詞的-一般,漢語
3467,3763,気合い,キアイ,5.上級前半,名詞,名詞-普通名詞-一般,混種語
3468,3764,気圧,キアツ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3469,3765,奇異,キイ,5.上級前半,名詞,名詞-普通名詞-形状詞可能,漢語
3471,3767,キーパー,キーパー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3472,3768,キープ,キープ,4.中級後半,名詞,名詞-普通名詞-サ変可能,外来語
3473,3769,キーボード,キーボード,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3474,3770,キーホルダー,キーホルダー,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,外来語
3478,3774,起因,キイン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3479,3775,議員,ギイン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3480,3776,キウイ,キウイ,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3483,3779,記憶,キオク,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3485,3782,帰化,キカ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3486,3783,飢餓,キガ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3488,3785,機会,キカイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3490,3788,危害,キガイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3491,3789,議会,ギカイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3492,3790,機械化,キカイカ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-サ変可能,漢語
3493,3791,機械工業,キカイコウギョウ,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3495,3793,着替え,キガエ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3497,3795,幾何学,キカガク,6.上級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3498,3796,気掛かり,キガカリ,5.上級前半,名詞,形状詞-一般,混種語
3499,3797,企画,キカク,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3500,3798,規格,キカク,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3503,3802,気兼ね,キガネ,5.上級前半,名詞,名詞-普通名詞-サ変可能,混種語
3506,3804,機関,キカン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3507,3806,気管,キカン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3508,3807,器官,キカン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3509,3808,帰還,キカン,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
3510,3809,祈願,キガン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3511,3810,気管支,キカンシ,6.上級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3512,3811,機関車,キカンシャ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3514,3812,危機,キキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3516,3816,機器,キキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3517,3813,効き,キキ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3520,3819,聞き覚え,キキオボエ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3522,3821,聞き方,キキカタ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3523,3822,危機感,キキカン,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3528,3827,聞き手,キキテ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3529,3828,利き手,キキテ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3533,3832,効き目,キキメ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3534,3833,帰郷,キキョウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3535,3834,帰京,キキョウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3536,3835,企業,キギョウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3537,3836,起業,キギョウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3539,3838,ききん,キキン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3540,3839,基金,キキン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3541,3840,貴金属,キキンゾク,5.上級前半,名詞,接頭辞 and 名詞-普通名詞-一般,漢語
3544,3842,菊,キク,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3546,3846,器具,キグ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3547,3847,危惧,キグ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3549,3849,気配り,キクバリ,5.上級前半,名詞,名詞-普通名詞-サ変可能,混種語
3550,3850,奇形,キケイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3551,3851,義兄,ギケイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3552,3852,喜劇,キゲキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3553,3853,帰結,キケツ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
3554,3854,議決,ギケツ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3556,3856,棄権,キケン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3558,3859,機嫌,キゲン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3559,3857,紀元,キゲン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3560,3858,起源,キゲン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3561,3861,危険性,キケンセイ,4.中級後半,名詞,名詞-普通名詞-形状詞可能 and 接尾辞-名詞的-一般,漢語
3562,3862,紀元前,キゲンゼン,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-副詞可能,漢語
3563,3864,季語,キゴ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3564,3865,気候,キコウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3565,3866,機構,キコウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3566,3867,紀行,キコウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3568,3869,技巧,ギコウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3569,3870,貴公子,キコウシ,6.上級後半,名詞,接頭辞 and 名詞-普通名詞-一般,漢語
3570,3871,技巧的,ギコウテキ,6.上級後半,名詞,名詞-普通名詞-一般 and 接尾辞-形状詞的,漢語
3574,3875,既婚,キコン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3575,3876,記載,キサイ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3576,3877,機材,キザイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3577,3878,器材,キザイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3578,3879,ぎざぎざ,ギザギザ,5.上級前半,名詞,名詞-普通名詞-形状詞可能,和語
3580,3881,兆し,キザシ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3581,3883,刻み,キザミ,6.上級後半,名詞,名詞-普通名詞-一般,和語
3584,3886,騎士,キシ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3586,3888,生地,キジ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3587,3889,技師,ギシ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3588,3891,疑似,ギジ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3589,3890,議事,ギジ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3590,3892,儀式,ギシキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3591,3893,気質,キシツ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3592,3895,期日,キジツ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3593,3896,議事堂,ギジドウ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3594,3897,岸辺,キシベ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3596,3899,汽車,キシャ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3597,3900,機種,キシュ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3598,3901,騎手,キシュ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3599,3902,記述,キジュツ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3601,3904,技術革新,ギジュツカクシン,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能,漢語
3603,3906,技術的,ギジュツテキ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-形状詞的,漢語
3604,3907,技術屋,ギジュツヤ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,混種語
3605,3908,基準,キジュン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3606,3909,規準,キジュン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3607,3912,起床,キショウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3608,3910,気象,キショウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3610,3913,机上,キジョウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3612,3915,気象衛星,キショウエイセイ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3614,3917,気象台,キショウダイ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3615,3918,気象庁,キショウチョウ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3618,3921,奇数,キスウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3621,3924,傷口,キズグチ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3622,3925,きずな,キズナ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3624,3927,帰省,キセイ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3625,3928,規制,キセイ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3626,3929,既製,キセイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3627,3930,既成,キセイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3628,3931,奇声,キセイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3629,3932,寄生,キセイ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3630,3933,犠牲,ギセイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3631,3934,犠牲者,ギセイシャ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3632,3935,寄生虫,キセイチュウ,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般,漢語
3633,3936,奇跡,キセキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3634,3937,軌跡,キセキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3635,3938,議席,ギセキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3636,3939,奇跡的,キセキテキ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-形状詞的,漢語
3638,3941,気絶,キゼツ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3639,3943,季節風,キセツフウ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3641,3945,汽船,キセン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3643,3947,偽善,ギゼン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3644,3948,偽善者,ギゼンシャ,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3645,3950,基礎,キソ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3646,3949,起訴,キソ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3648,3952,偽造,ギゾウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3650,3954,貴族,キゾク,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3651,3955,帰属,キゾク,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3652,3956,義足,ギソク,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3653,3957,規則正しい,キソクタダシイ,4.中級後半,名詞,名詞-普通名詞-一般 and 形容詞-一般,混種語
3654,3958,基礎体温,キソタイオン,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
3655,3959,既存,キソン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3660,3964,気体,キタイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3661,3965,機体,キタイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3668,3972,北半球,キタハンキュウ,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,混種語
3669,3973,ギタリスト,ギタリスト,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3671,3975,基地,キチ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3672,3976,吉,キチ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3673,3977,気違い,キチガイ,6.上級後半,名詞,名詞-普通名詞-一般,混種語
3676,3980,記帳,キチョウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3677,3979,基調,キチョウ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3678,3982,議長,ギチョウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3679,3983,貴重品,キチョウヒン,4.中級後半,名詞,形状詞-一般 and 接尾辞-名詞的-一般,漢語
3684,3988,気遣い,キヅカイ,4.中級後半,名詞,名詞-普通名詞-一般,混種語
3686,3991,切っ掛け,キッカケ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3687,3992,キック,キック,4.中級後半,名詞,名詞-普通名詞-サ変可能,外来語
3689,3994,キックオフ,キックオフ,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3690,3995,キックボクシング,キックボクシング,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3691,3996,喫茶,キッサ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3698,4003,キット,キット,6.上級後半,名詞,名詞-普通名詞-一般,外来語
3702,4009,吉報,キッポウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3703,4010,規定,キテイ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3705,4012,起点,キテン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3706,4013,機転,キテン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3707,4014,起動,キドウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3708,4015,軌道,キドウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3709,4016,機動隊,キドウタイ,6.上級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3710,4017,気取り,キドリ,6.上級後半,名詞,名詞-普通名詞-一般,混種語
3712,4019,機内,キナイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3717,4024,絹,キヌ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3718,4025,記念,キネン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3719,4026,記念切手,キネンキッテ,4.中級後半,名詞,名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般,混種語
3720,4027,記念碑,キネンヒ,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般,漢語
3722,4029,機能,キノウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3723,4030,技能,ギノウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3724,4031,昨日今日,キノウキョウ,4.中級後半,名詞,名詞-普通名詞-副詞可能 and 名詞-普通名詞-副詞可能,和語
3725,4032,きのこ,キノコ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3726,4033,気の毒,キノドク,4.中級後半,名詞,形状詞-一般,混種語
3727,4034,木登り,キノボリ,4.中級後半,名詞,名詞-普通名詞-サ変可能,和語
3728,4035,牙,キバ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3732,4039,規範,キハン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3733,4040,基盤,キバン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3736,4043,気品,キヒン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3737,4044,寄付,キフ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3738,4045,義父,ギフ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3739,4046,ギブアップ,ギブアップ,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能,外来語
3740,4047,ギフト,ギフト,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3742,4049,規模,キボ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3743,4050,義母,ギボ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3744,4051,気泡,キホウ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3746,4053,技法,ギホウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3747,4054,木彫り,キボリ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3748,4055,基本,キホン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3749,4056,基本給,キホンキュウ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3751,4058,基本的人権,キホンテキジンケン,5.上級前半,名詞,名詞-普通名詞-一般 and 接尾辞-形状詞的 and 名詞-普通名詞-一般,漢語
3753,4060,期末,キマツ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3755,4062,決まり文句,キマリモンク,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,混種語
3758,4064,黄身,キミ,4.中級後半,名詞,名詞-普通名詞-一般,和語
3759,4065,気味,キミ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3760,4066,機密,キミツ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3762,4068,義務,ギム,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3763,4069,義務教育,ギムキョウイク,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能,漢語
3766,4072,記名,キメイ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3768,4075,決め手,キメテ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3770,4077,肝,キモ,5.上級前半,名詞,名詞-普通名詞-一般,和語
3774,4081,鬼門,キモン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
3777,4084,ギア,ギヤ,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3780,4087,規約,キヤク,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3782,4089,ギャグ,ギャグ,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3783,4090,逆効果,ギャクコウカ,4.中級後半,名詞,名詞-普通名詞-形状詞可能 and 名詞-普通名詞-一般,漢語
3784,4091,虐殺,ギャクサツ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3785,4092,逆算,ギャクサン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3786,4093,客室,キャクシツ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3787,4094,逆襲,ギャクシュウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3788,4095,逆上,ギャクジョウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3790,4097,逆説,ギャクセツ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3791,4098,客船,キャクセン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
3792,4099,虐待,ギャクタイ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3793,4100,逆探知,ギャクタンチ,5.上級前半,名詞,名詞-普通名詞-形状詞可能 and 名詞-普通名詞-サ変可能,漢語
3794,4101,逆転,ギャクテン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3795,4102,客引き,キャクヒキ,5.上級前半,名詞,名詞-普通名詞-一般,混種語
3796,4103,脚本,キャクホン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
3797,4104,客間,キャクマ,4.中級後半,名詞,名詞-普通名詞-一般,混種語
3798,4105,逆輸入,ギャクユニュウ,4.中級後半,名詞,名詞-普通名詞-形状詞可能 and 名詞-普通名詞-サ変可能,漢語
3799,4106,客用,キャクヨウ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,漢語
3802,4109,キャスター,キャスター,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3803,4110,キャスティング,キャスティング,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3804,4111,キャスト,キャスト,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3805,4112,却下,キャッカ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
3806,4113,客観,キャッカン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
3811,4118,キャッチフレーズ,キャッチフレーズ,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3812,4119,キャッチャー,キャッチャー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3813,4120,ギャップ,ギャップ,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3814,4121,キャディー,キャディー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3815,4122,キャビア,キャビア,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3816,4123,キャビン,キャビン,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3819,4126,キャミソール,キャミソール,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3820,4127,ギャラ,ギャラ,5.上級前半,名詞,名詞-普通名詞-一般,外来語
3821,4128,キャラクター,キャラクター,4.中級後半,名詞,名詞-普通名詞-一般,外来語
3823,4130,ギャラリー,ギャラリー,4.中級後半,名詞,名詞-普通名詞-一般,外来語
